,quotes,author
54,"“It was only a sunny smile, and little it cost in the giving, but like morning light it scattered the night and made the day worth living.” – F. Scott Fitzgerald", – F. Scott Fitzgerald
55,“A smile is a friend maker.” – Bangambiki Habyarimana, – Bangambiki Habyarimana
56,"“I was smiling yesterday,I am smiling today and I will smile tomorrow.Simply because life is too short to cry for anything.” – Santosh Kalwar", – Santosh Kalwar
57,“I wake up every day with a smile on my face.” – Henry Ian Cusick, – Henry Ian Cusick
58,"“Before you put on a frown, make absolutely sure there are no smiles available.” – Jim Beggs", – Jim Beggs
59,"“Your smile is your logo, your personality is your business card, how you leave others feeling after having an experience with you becomes your trademark.” – Anonymous", – Anonymous
60,“A smile cures the wounding of a frown.” – William Shakespeare, – William Shakespeare
61,“The source of a true smile is an awakened mind.” – Thich Nhat Hanh, – Thich Nhat Hanh
62,“Anyone can smile on their best day. I like to meet a man who can smile on his WORST.” – Lauren Graham, – Lauren Graham
63,"“Her smile, I’m sure, burnt Rome to the ground.” – Mark Z. Danielewski", – Mark Z. Danielewski
64,“People with dimple have a divine role in this universe: smile!” – Toba Beta, – Toba Beta
65,"“Sometimes your joy is the source of your smile, but sometimes your smile can be the source of your joy.” – Thich Nhat Hanh", – Thich Nhat Hanh
66,"“Today, give a stranger one of your smiles. It might be the only sunshine he sees all day. “ – H. Jackson Brown Jr. ", – H. Jackson Brown Jr. 
67,"“The living should smile, for the dead cannot.” – George R.R. Martin", – George R.R. Martin
68,“A smile remains the most inexpensive gift I can bestow on anyone and yet its powers can vanquish kingdoms.” – Og Mandino, – Og Mandino
69,"“What sunshine is to flowers, smiles are to humanity. These are but trifles, to be sure; but scattered along life’s pathway, the good they do is inconceivable.” – Joseph Addison", – Joseph Addison
70,"“Let my soul smile through my heart and my heart smile through my eyes, that I may scatter rich smiles in sad hearts.” – Paramahansa Yogananda", – Paramahansa Yogananda
71,"“When a new day begins, dare to smile gratefully.” – Steve Maraboli", – Steve Maraboli
72,“Smile. Be open and welcoming.” – Ephraim Buchwald, – Ephraim Buchwald
73,“Learn to smile at every situation. See it as an opportunity to prove your strength and ability.” – Joe Brown, – Joe Brown
74,"“Too often we underestimate the power of a touch, a smile, a kind word, a listening ear, an honest compliment, or the smallest act of caring, all of which have the potential to turn a life around.” – Leo Buscaglia", – Leo Buscaglia
75,“A smile is a curve that sets everything straight.” – Phyllis Diller, – Phyllis Diller
76,"“After every storm the sun will smile; for every problem there is a solution, and the soul’s infeasible duty is to be of good cheer.” – William R. Alger", – William R. Alger
77,"“For a moment at least, be a smile on someone else’s face.” – Dejan Stojanovic", – Dejan Stojanovic
78,“I like to smile. I smile even when I’m nervous since it calms me down and shows my friendliness.” – Yani Tseng, – Yani Tseng
79,“We shall never know all the good that a simple smile can do.” – Mother Teresa, – Mother Teresa
80,“It seems to me that what we call beauty in a face lies in the smile.” – Leo Tolstoy, – Leo Tolstoy
81,“An enigmatic smile is worth ten pages of dialogue.” – Connie Brockway, – Connie Brockway
82,"“Everywhere you go, take a smile with you.” – Sasha Asevedo", – Sasha Asevedo
83,“The world always looks brighter from behind a smile.” – Unknown, – Unknown
